DATE;SOURCE;PORT;DESTINATION;FLAG;SEQ
02:48:05.725905;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;P.;644:1082
02:48:05.730136;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;.;
02:48:05.912178;ec2-44-238-194-110.us-west-2.compute;https;oklm-VirtualBox.56306:;P.;3493:4053
02:48:05.912207;oklm-VirtualBox.56306;56306;ec2-44-238-194-110.us-west-2.compute.amazonaws.com.https:;.;
02:48:06.199010;oklm-VirtualBox.58341;58341;bbox.lan.domain:;1au;
02:48:06.199920;oklm-VirtualBox.39796;39796;bbox.lan.domain:;1au;
02:48:06.237196;bbox.lan.domain;domain;oklm-VirtualBox.58341:;;
02:48:06.258286;bbox.lan.domain;domain;oklm-VirtualBox.39796:;;
02:48:06.259087;oklm-VirtualBox.55578;55578;82.221.107.34.bc.googleusercontent.com.http:;S;1749943580
02:48:06.269119;82.221.107;http;oklm-VirtualBox.55578:;S.;147136001
02:48:06.269224;oklm-VirtualBox.55578;55578;82.221.107.34.bc.googleusercontent.com.http:;.;
02:48:06.269709;oklm-VirtualBox.55578;55578;82.221.107.34.bc.googleusercontent.com.http:;P.;1:302
02:48:06.270644;82.221.107;http;oklm-VirtualBox.55578:;.;
02:48:06.282022;82.221.107;http;oklm-VirtualBox.55578:;P.;1:299
02:48:06.282107;oklm-VirtualBox.55578;55578;82.221.107.34.bc.googleusercontent.com.http:;.;
02:48:06.306373;oklm-VirtualBox.43663;43663;bbox.lan.domain:;1au;
02:48:06.356772;bbox.lan.domain;domain;oklm-VirtualBox.43663:;;
02:48:07.117379;oklm-VirtualBox.40172;40172;bbox.lan.domain:;1au;
02:48:07.117798;oklm-VirtualBox.58082;58082;bbox.lan.domain:;1au;
02:48:07.149747;bbox.lan.domain;domain;oklm-VirtualBox.40172:;;
02:48:07.180677;bbox.lan.domain;domain;oklm-VirtualBox.58082:;;
02:48:07.181072;oklm-VirtualBox.53972;53972;bbox.lan.domain:;1au;
02:48:07.212071;bbox.lan.domain;domain;oklm-VirtualBox.53972:;;
02:48:07.212884;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;S;1720047822
02:48:07.225110;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;S.;147264001
02:48:07.225219;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;.;
02:48:07.241225;oklm-VirtualBox.46921;46921;bbox.lan.domain:;1au;
02:48:07.248414;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;P.;1:518
02:48:07.249185;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:07.260884;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;1:2921
02:48:07.260991;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;.;
02:48:07.261381;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;P.;2921:6015
02:48:07.261450;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;.;
02:48:07.264452;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;P.;518:582
02:48:07.265221;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:07.271419;bbox.lan.domain;domain;oklm-VirtualBox.46921:;;
02:48:07.273995;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;P.;6015:6223
02:48:07.316328;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;.;
02:48:07.346867;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;P.;582:752
02:48:07.347807;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:07.347836;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;P.;752:783
02:48:07.348236;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:07.356297;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;P.;6223:6254
02:48:07.356324;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;.;
02:48:07.416520;oklm-VirtualBox.48664;48664;bbox.lan.domain:;1au;
02:48:07.422470;oklm-VirtualBox.58596;58596;bbox.lan.domain:;1au;
02:48:07.444829;bbox.lan.domain;domain;oklm-VirtualBox.48664:;;
02:48:07.446255;oklm-VirtualBox.50521;50521;bbox.lan.domain:;1au;
02:48:07.446785;oklm-VirtualBox.35398;35398;bbox.lan.domain:;1au;
02:48:07.453163;oklm-VirtualBox.55592;55592;82.221.107.34.bc.googleusercontent.com.http:;S;1673990625
02:48:07.464789;82.221.107;http;oklm-VirtualBox.55592:;S.;147392001
02:48:07.465024;oklm-VirtualBox.55592;55592;82.221.107.34.bc.googleusercontent.com.http:;.;
02:48:07.475144;bbox.lan.domain;domain;oklm-VirtualBox.50521:;;
02:48:07.475213;bbox.lan.domain;domain;oklm-VirtualBox.58596:;;
02:48:07.478089;oklm-VirtualBox.55592;55592;82.221.107.34.bc.googleusercontent.com.http:;P.;1:304
02:48:07.478806;82.221.107;http;oklm-VirtualBox.55592:;.;
02:48:07.489723;82.221.107;http;oklm-VirtualBox.55592:;P.;1:217
02:48:07.489762;oklm-VirtualBox.55592;55592;82.221.107.34.bc.googleusercontent.com.http:;.;
02:48:07.504268;bbox.lan.domain;domain;oklm-VirtualBox.35398:;;
02:48:07.505818;oklm-VirtualBox.53629;53629;bbox.lan.domain:;1au;
02:48:07.543748;bbox.lan.domain;domain;oklm-VirtualBox.53629:;;
02:48:07.707326;oklm-VirtualBox.34694;34694;server-54-192-66-86.mrs52.r.cloudfront.net.https:;P.;783:1109
02:48:07.708429;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;.;
02:48:07.816901;server-54-192-66-86.mrs52.r;https;oklm-VirtualBox.34694:;P.;6254:7845
